,Company,Symbol,Industry,Identifier,Indices,Currency,Trading,urls,description
72,Bluesky Digital Assets Corp.,BTC,Diversified Industries,Blockchain,,CAD,18-May-16,https://thecse.com/en/listings/diversified-industries/bluesky-digital-assets-corp,"Listed on the Canadian Securities Exchange under the trading symbol “BTC” and ""BTC.PR.A"" Bluesky Digital Assets Corp.,  is building a high value digital currency enterprise."
73,"Bluesky Digital Assets Corp. Pr A (formerly was GPC.PR.A/Gunpowder Capital Corp. Preferred Shares, Series A until 2019-11-29)",BTC.PR.A,Diversified Industries,Blockchain,,CAD,12-Sep-16,"https://thecse.com/en/listings/diversified-industries/bluesky-digital-assets-corp-pr-a-(formerly-was-gpcpra/gunpowder-capital-corp-preferred-shares,-series-a-until-2019-11-29)",
74,Bluma Wellness Inc.,BWEL.U,Life Sciences,US Cannabis,,USD,15-Jun-20,https://thecse.com/en/listings/life-sciences/bluma-wellness-inc,"Bluma Wellness Inc. owns and operates a vertically-integrated, licensed medical cannabis company in the State of Florida doing business as  “One Plant Florida”. One Plant Florida cultivates, processes, dispenses and retails medical cannabis to qualified patients in the State of Florida through multiple retail dispensaries and an innovative next-day door-to-door e-commerce home delivery service, thereby offering convenient access for its customers and meeting the demands of an evolving retail landscape. Bluma plans to continue expanding its cultivation and distribution operations as the Florida market grows and may enter into other US states where the production, distribution and use of cannabis is permitted under state law."
75,Body and Mind Inc.,BAMM,Life Sciences,US Cannabis,CSE Composite,CAD,07-Dec-17,https://thecse.com/en/listings/life-sciences/body-and-mind-inc,"Body and Mind is debt free a multi-state operator in California, Nevada, Ohio and Arkansas. The Company invests in high quality medical and recreational cannabis cultivation, production/ manufacturing and retail. "
76,Bolt Metals Corp. (formerly was BOLT/Pacific Rim Cobalt Corp. until 2020-02-25),BOLT,Mining,,CSE Composite,CAD,24-Oct-17,https://thecse.com/en/listings/mining/bolt-metals-corp-(formerly-was-bolt/pacific-rim-cobalt-corp-until-2020-02-25),
77,Bond Resources Inc.,BJB,Mining,,,CAD,20-May-20,https://thecse.com/en/listings/mining/bond-resources-inc,"Bond Resources is a mineral resource company that holds the contractual rights to acquire the Mary K mine in the Elk City mining district of Idaho.  The Company will focus on near-term production and rediscovery at the high-grade historic mine.  Led by industry veterans and located in the mining friendly jurisdiction of Idaho, USA, Bond Resources combines the technical expertise of industry experts and a transparent communications model to increase shareholder value."
78,Braingrid Limited (formerly was BGRD/Braingrid Limited until 2020-03-17),BGRD.X,Technology,Cannabis,,CAD,28-Dec-18,https://thecse.com/en/listings/technology/braingrid-limited-(formerly-was-bgrd/braingrid-limited-until-2020-03-17),
79,Brand X Lifestyle Corp. (formerly was BXXX/Block X Capital Corp. until 2020-03-27),BXXX,Technology,,CSE Composite,CAD,24-Jan-18,https://thecse.com/en/listings/technology/brand-x-lifestyle-corp-(formerly-was-bxxx/block-x-capital-corp-until-2020-03-27),
80,Bucephalus Capital Corp.,BCA,Diversified Industries,,,CAD,16-Mar-16,https://thecse.com/en/listings/diversified-industries/bucephalus-capital-corp,
81,Bullfrog Gold Corp.,BFG,Mining,,CSE Composite,CAD,11-Sep-19,https://thecse.com/en/listings/mining/bullfrog-gold-corp,"Bullfrog Gold Corp. is a junior exploration company engaged in the acquisition and exploration of properties that may contain gold, silver and other metals in the United States. Bullfrog owns, controls or has acquired mineral rights on 5,250 acres of Federal patented and unpatented mining claims in the South Bullfrog Mining District of the State of Nevada for the purpose of exploration and potential development of gold and silver."
82,Bunker Hill Mining Corp.,BNKR,Mining,,CSE Composite,CAD,19-May-17,https://thecse.com/en/listings/mining/bunker-hill-mining-corp,"
	Bunker Hill Mining Corp. is uniquely positioned to re-develop one of the largest Zinc-Lead-Silver deposits in the Americas not in production, located in the Silver Valley, Idaho USA.  Management harnesses previous success in the Silver Valley to realize shareholder value in this near-term production asset."
83,Byrna Technologies Inc. (formerly was SDZ/Security Devices International Inc. until 2020-03-03),BYRN,Technology,,CSE Composite,CAD,15-Oct-18,https://thecse.com/en/listings/technology/byrna-technologies-inc-(formerly-was-sdz/security-devices-international-inc-until-2020-03-03),
84,C21 Investments Inc.,CXXI,Life Sciences,US Cannabis,CSE Composite,CAD,18-Jun-18,https://thecse.com/en/listings/life-sciences/c21-investments-inc,"C21 Investments Inc. is a vertically integrated cannabis company with newly acquired operations in Nevada and Oregon, U.S.A.  C21’s strategy is to acquire existing cannabis operations in the U.S.A. and globally, with experienced management teams in place.  C21’s focus is to expand where it can wholly own indoor/outdoor cultivation operations, processing/extraction facilities, bakeries, branded products, and retail dispensaries with a large distribution network."
85,Caelan Capital Inc. (formerly was CDN/Caelan Capital Corp. until 2020-04-13),CDN,Mining,,,CAD,04-Nov-19,https://thecse.com/en/listings/mining/caelan-capital-inc-(formerly-was-cdn/caelan-capital-corp-until-2020-04-13),
86,California Gold Mining Inc.,CGM,Mining,,CSE Composite,CAD,21-Mar-19,https://thecse.com/en/listings/mining/california-gold-mining-inc,"California Gold Mining Inc. is focused on developing its 100%-owned Fremont Project in Mariposa County, California. The project consists of an entirely private and patented land package totaling 3,351 acres of historically producing gold mines, with a state highway, PG&E electric substation and abundant water present on the Property itself. The Property lies within California’s prolific Mother Lode Gold Belt that has produced over 50 million oz of gold historically. The Company purchased the Property in March 2013. "
87,Callitas Health Inc.,LILY,Life Sciences,,,CAD,01-Sep-15,https://thecse.com/en/listings/life-sciences/callitas-health-inc,
88,Camarico Investment Group Ltd.,CIG,Life Sciences,,,CAD,13-Aug-19,https://thecse.com/en/listings/life-sciences/camarico-investment-group-ltd,"
	The Camarico Investment Group Ltd. is an innovative investment issuer engaged in the integrated development, acquisition and partnership of intellectual property, assets and portfolio interests."
89,Cameo Industries Corp.,CRU,Mining,,,CAD,16-Jun-20,https://thecse.com/en/listings/mining/cameo-industries-corp,Cameo Industries is a mineral exploration company actively involved in the exploration of its precious metal focused portfolio including the Big Mac Property located in British Columbia.
90,Canada House Wellness Group Inc.,CHV,Life Sciences,Cannabis,CSE Composite,CAD,13-Mar-15,https://thecse.com/en/listings/life-sciences/canada-house-wellness-group-inc,"Canada House Wellness Group Inc. is the parent company of Abba Medix Corp., a Licensed Producer in Pickering, Ontario that produces high quality medical grade cannabis; Canada House Clinics Inc., clinics across the country that work directly with primary care teams to provide specialized cannabinoid therapy services to patients suffering from common to complex medical conditions; and Knalysis Technologies, a provider of fully customizable, cloud-based software that links physician, provider, and patient to data that supports treatment with medical cannabis."
91,Canadian Metals Inc.,CME,Mining,,,CAD,01-Sep-15,https://thecse.com/en/listings/mining/canadian-metals-inc,Canadian Metals Inc. is an exploration and development company focused on creating shareholder value through the strategic acquisition of precious and base metals projects while closing and maintaining key partnerships.
92,Canadian Overseas Petroleum Limited,XOP,Oil and Gas,,CSE Composite,CAD,31-Oct-18,https://thecse.com/en/listings/oil-and-gas/canadian-overseas-petroleum-limited,"Canadian Overseas Petroleum Limited (the “Company”) is an international oil and gas exploration and development company that is currently focused in Africa. The Company is actively pursuing opportunities in Nigeria and sub-Saharan Africa in partnership with Shoreline Energy International Limited (“Shoreline”) as part of its strategy to generate stable cash flow from secure offshore and onshore assets. The Company and Shoreline, through their jointly-held affiliated company Shoreline Canadian Overseas Petroleum Development Corporation (“ShoreCan”), have acquired 80% of the share capital, subject to the receipt of formal consent from NNPC, and have taken over the management of Essar Exploration and Production Limited (Nigeria) (“Essar Nigeria”). Essar Nigeria holds an attractive oil appraisal and development project in shallow to mid-water offshore Nigeria on its 100% holding in OPL 226. ShoreCan continues building a portfolio of exploration and development assets in sub-Saharan Africa. To date, ShoreCan has taken a position in Nigeria and the Company and Shoreline have been indicatively awarded the PT-5B exploration license onshore Mozambique in the 5th Licensing Round adjacent to the producing PandeTemane Gas and light oil field complex."
